"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2019년 11월 29일","80,900","82,500","82,800","80,700","2.02M","-2.29%"
"2019년 11월 28일","82,800","83,100","83,800","82,500","1.40M","0.12%"
"2019년 11월 27일","82,700","82,400","83,200","82,000","1.32M","0.49%"
"2019년 11월 26일","82,300","82,000","84,100","82,000","4.50M","0.73%"
"2019년 11월 25일","81,700","82,300","83,300","81,500","2.60M","0.00%"
"2019년 11월 24일","81,700","81,700","81,700","81,700","-","0.00%"
"2019년 11월 22일","81,700","80,900","82,100","80,700","2.06M","0.99%"
"2019년 11월 21일","80,900","81,700","82,500","80,500","3.17M","-2.18%"
"2019년 11월 20일","82,700","84,400","85,200","82,600","3.31M","-3.05%"
"2019년 11월 19일","85,300","85,400","86,000","84,600","2.22M","-0.23%"
"2019년 11월 18일","85,500","86,000","86,500","84,700","1.81M","0.35%"
"2019년 11월 17일","85,200","85,200","85,200","85,200","-","0.00%"
"2019년 11월 15일","85,200","84,200","85,200","83,400","2.39M","2.16%"
"2019년 11월 14일","83,400","83,200","83,800","82,900","1.52M","0.00%"
"2019년 11월 13일","83,400","83,300","83,600","82,300","1.28M","0.24%"
"2019년 11월 12일","83,200","81,900","83,200","81,300","1.55M","2.34%"
"2019년 11월 11일","81,300","82,500","82,500","80,700","2.17M","-1.22%"
"2019년 11월 10일","82,300","82,300","82,300","82,300","-","0.00%"
"2019년 11월 08일","82,300","84,600","84,600","82,000","2.07M","-1.56%"
"2019년 11월 07일","83,600","83,700","84,300","82,800","1.57M","0.12%"
"2019년 11월 06일","83,500","84,800","85,200","83,500","2.12M","-1.88%"
"2019년 11월 05일","85,100","85,100","85,400","84,600","1.94M","0.47%"
"2019년 11월 04일","84,700","84,000","84,900","83,800","2.17M","1.93%"
"2019년 11월 03일","83,100","83,100","83,100","83,100","-","0.00%"
"2019년 11월 01일","83,100","82,300","83,200","81,600","1.70M","1.34%"
"2019년 10월 31일","82,000","81,900","83,400","81,600","1.98M","0.61%"
"2019년 10월 30일","81,500","83,400","83,400","81,000","1.93M","-1.81%"
"2019년 10월 29일","83,000","84,000","84,000","82,900","1.64M","0.12%"
"2019년 10월 28일","82,900","83,400","84,000","82,600","1.98M","0.00%"
"2019년 10월 27일","82,900","82,900","82,900","82,900","-","0.00%"
"2019년 10월 25일","82,900","82,400","82,900","81,500","4.21M","3.63%"
"2019년 10월 24일","80,000","79,900","80,100","78,700","3.07M","2.96%"
"2019년 10월 23일","77,700","78,500","78,600","77,700","2.47M","-1.77%"
"2019년 10월 22일","79,100","78,900","79,300","78,200","3.00M","2.06%"
"2019년 10월 21일","77,500","77,800","78,400","77,100","2.09M","0.13%"
"2019년 10월 20일","77,400","77,400","77,400","77,400","-","0.00%"
"2019년 10월 18일","77,400","81,500","81,700","77,300","5.88M","-4.44%"
"2019년 10월 17일","81,000","82,000","82,200","80,600","1.56M","-1.70%"
"2019년 10월 16일","82,400","82,400","82,700","81,900","2.26M","1.48%"
"2019년 10월 15일","81,200","80,700","81,700","80,500","1.40M","0.87%"
"2019년 10월 14일","80,500","82,000","82,300","80,400","1.89M","0.63%"
"2019년 10월 11일","80,000","79,800","80,500","79,400","1.92M","1.27%"
"2019년 10월 10일","79,000","78,900","79,600","78,100","4.08M","-2.35%"
"2019년 10월 09일","80,900","80,900","80,900","80,900","-","0.00%"
"2019년 10월 08일","80,900","80,400","81,100","79,400","1.73M","0.75%"
"2019년 10월 07일","80,300","80,700","81,700","79,800","1.23M","0.00%"
"2019년 10월 06일","80,300","80,300","80,300","80,300","-","0.00%"
"2019년 10월 04일","80,300","78,900","81,300","78,900","2.33M","1.01%"
"2019년 10월 03일","79,500","79,500","79,500","79,500","-","0.00%"
"2019년 10월 02일","79,500","81,600","81,600","79,500","2.18M","-3.05%"
"2019년 10월 01일","82,000","81,800","82,500","81,700","1.33M","-0.24%"
"2019년 09월 30일","82,200","80,600","82,900","80,400","2.41M","0.98%"
"2019년 09월 29일","81,400","81,400","81,400","81,400","-","0.00%"
"2019년 09월 27일","81,400","80,200","81,500","80,100","2.58M","-2.28%"
"2019년 09월 26일","83,300","83,000","83,500","82,500","1.73M","1.71%"
"2019년 09월 25일","81,900","82,200","82,800","81,500","1.63M","-1.80%"
"2019년 09월 24일","83,400","82,500","83,500","81,400","1.56M","0.72%"
"2019년 09월 23일","82,800","81,900","83,300","81,900","1.38M","0.73%"
"2019년 09월 22일","82,200","82,200","82,200","82,200","-","0.00%"
"2019년 09월 20일","82,200","82,800","83,400","82,100","2.34M","-0.60%"
"2019년 09월 19일","82,700","80,600","82,700","80,300","2.87M","3.12%"
"2019년 09월 18일","80,200","80,100","80,600","79,500","2.35M","1.01%"
"2019년 09월 17일","79,400","80,000","80,400","79,100","2.03M","-0.13%"
"2019년 09월 16일","79,500","81,000","81,000","79,000","5.09M","-3.75%"
"2019년 09월 15일","82,600","82,600","82,600","82,600","-","0.00%"
"2019년 09월 11일","82,600","83,400","84,300","81,300","3.63M","-0.60%"
"2019년 09월 10일","83,100","84,200","84,200","82,700","1.73M","-1.42%"
"2019년 09월 09일","84,300","83,100","84,600","82,500","2.48M","2.93%"
"2019년 09월 08일","81,900","81,900","81,900","81,900","-","0.00%"
"2019년 09월 06일","81,900","84,000","84,000","81,500","2.42M","-1.33%"
"2019년 09월 05일","83,000","81,400","83,000","81,200","4.06M","3.75%"
"2019년 09월 04일","80,000","77,400","80,000","77,300","2.68M","3.90%"
"2019년 09월 03일","77,000","77,200","77,600","76,300","1.61M","-0.77%"
"2019년 09월 02일","77,600","77,000","78,200","76,500","1.43M","0.26%"
"2019년 09월 01일","77,400","77,400","77,400","77,400","-","0.00%"
"2019년 08월 30일","77,400","74,600","78,000","74,600","3.80M","5.59%"
"2019년 08월 29일","73,300","73,500","74,100","72,000","2.03M","0.00%"
"2019년 08월 28일","73,300","73,500","73,700","72,500","1.35M","0.41%"
"2019년 08월 27일","73,000","72,500","73,700","72,500","2.51M","1.67%"
"2019년 08월 26일","71,800","72,600","73,000","71,500","2.61M","-3.49%"
"2019년 08월 25일","74,400","74,400","74,400","74,400","-","0.00%"
"2019년 08월 23일","74,400","73,500","75,200","73,400","1.67M","0.81%"
"2019년 08월 22일","73,800","75,300","76,000","73,800","2.30M","-2.64%"
"2019년 08월 21일","75,800","75,900","76,900","75,500","1.89M","-0.79%"
"2019년 08월 20일","76,400","75,500","76,600","75,100","1.69M","1.73%"
"2019년 08월 19일","75,100","77,300","77,500","74,800","1.59M","-1.70%"
"2019년 08월 18일","76,400","76,400","76,400","76,400","-","0.00%"
"2019년 08월 16일","76,400","75,800","76,400","75,100","2.00M","-0.65%"
"2019년 08월 15일","76,900","76,900","76,900","76,900","-","0.00%"
"2019년 08월 14일","76,900","77,200","77,900","76,200","2.53M","3.22%"
"2019년 08월 13일","74,500","74,000","75,100","73,700","1.29M","0.00%"
"2019년 08월 12일","74,500","73,700","75,000","73,500","1.25M","1.64%"
"2019년 08월 11일","73,300","73,300","73,300","73,300","-","0.00%"
"2019년 08월 09일","73,300","73,200","74,100","72,300","2.06M","1.38%"
"2019년 08월 08일","72,300","73,600","74,500","72,000","2.89M","-1.36%"
"2019년 08월 07일","73,300","72,000","74,300","72,000","2.69M","1.81%"
"2019년 08월 06일","72,000","73,100","73,900","71,900","5.00M","-4.51%"
"2019년 08월 05일","75,400","75,500","76,000","74,900","2.84M","-0.92%"
"2019년 08월 04일","76,100","76,100","76,100","76,100","-","0.00%"
"2019년 08월 02일","76,100","75,400","76,800","74,900","4.83M","-2.06%"
"2019년 08월 01일","77,700","75,300","78,700","75,300","3.40M","1.04%"
"2019년 07월 31일","76,900","78,000","79,100","75,300","3.65M","-2.53%"
"2019년 07월 30일","78,900","78,200","80,000","77,700","2.33M","2.47%"
"2019년 07월 29일","77,000","79,000","79,400","76,500","2.61M","-3.51%"
"2019년 07월 28일","79,800","79,800","79,800","79,800","-","0.00%"
"2019년 07월 26일","79,800","78,100","80,300","78,000","3.06M","0.76%"
"2019년 07월 25일","79,200","79,700","80,400","77,700","3.96M","2.06%"
"2019년 07월 24일","77,600","78,800","80,200","77,100","3.56M","-1.52%"
"2019년 07월 23일","78,800","79,700","80,700","78,200","4.80M","0.51%"
"2019년 07월 22일","78,400","77,800","79,200","77,000","3.21M","2.08%"
"2019년 07월 21일","76,800","76,800","76,800","76,800","-","0.00%"
"2019년 07월 19일","76,800","75,900","77,000","75,600","2.62M","2.81%"
"2019년 07월 18일","74,700","74,300","75,200","73,900","1.90M","0.13%"
"2019년 07월 17일","74,600","74,600","75,200","74,000","2.80M","-1.97%"
"2019년 07월 16일","76,100","74,800","76,500","74,800","2.40M","-0.13%"
"2019년 07월 15일","76,200","74,500","76,500","74,400","2.11M","2.01%"
"2019년 07월 12일","74,700","75,600","75,800","74,400","2.59M","-1.06%"
"2019년 07월 11일","75,500","74,000","75,500","74,000","5.10M","3.57%"
"2019년 07월 10일","72,900","71,500","73,400","71,000","4.34M","4.44%"
"2019년 07월 09일","69,800","68,400","70,500","67,900","2.90M","3.56%"
"2019년 07월 08일","67,400","66,400","68,000","66,200","2.20M","-1.46%"
"2019년 07월 07일","68,400","68,400","68,400","68,400","-","0.00%"
"2019년 07월 05일","68,400","70,300","71,000","68,400","2.04M","-2.56%"
"2019년 07월 04일","70,200","69,600","70,700","69,300","1.50M","1.59%"
"2019년 07월 03일","69,100","71,100","71,700","69,000","2.70M","-3.22%"
"2019년 07월 02일","71,400","69,700","71,700","69,100","2.48M","2.00%"
"2019년 07월 01일","70,000","71,000","71,000","69,700","3.53M","0.72%"
"2019년 06월 30일","69,500","69,500","69,500","69,500","-","0.00%"
"2019년 06월 28일","69,500","70,900","70,900","68,400","3.11M","-1.00%"
"2019년 06월 27일","70,200","70,100","71,600","69,700","5.32M","1.89%"
"2019년 06월 26일","68,900","68,300","69,600","67,900","5.02M","3.30%"
"2019년 06월 25일","66,700","66,700","67,400","66,300","1.87M","-0.30%"
"2019년 06월 24일","66,900","65,900","67,400","65,600","2.16M","1.52%"
"2019년 06월 23일","65,900","65,900","65,900","65,900","-","0.00%"
"2019년 06월 21일","65,900","67,100","67,300","65,900","2.40M","-2.08%"
"2019년 06월 20일","67,300","67,200","67,400","66,200","2.75M","0.15%"
"2019년 06월 19일","67,200","65,800","67,300","65,200","6.16M","5.99%"
"2019년 06월 18일","63,400","63,800","64,200","63,300","1.54M","-0.47%"
"2019년 06월 17일","63,700","62,800","63,800","62,400","2.43M","0.95%"
"2019년 06월 16일","63,100","63,100","63,100","63,100","-","0.00%"
"2019년 06월 14일","63,100","63,200","64,000","62,600","3.49M","-0.63%"
"2019년 06월 13일","63,500","64,900","65,100","63,300","5.91M","-3.35%"
"2019년 06월 12일","65,700","66,800","67,100","65,700","2.43M","-2.23%"
"2019년 06월 11일","67,200","66,900","67,800","66,700","2.42M","0.60%"
"2019년 06월 10일","66,800","66,100","67,000","65,800","3.09M","2.14%"
"2019년 06월 07일","65,400","65,200","66,000","64,600","2.35M","0.46%"
"2019년 06월 05일","65,100","66,900","67,600","64,900","4.81M","0.00%"
"2019년 06월 04일","65,100","66,500","66,700","65,100","2.77M","-2.25%"
"2019년 06월 03일","66,600","65,200","67,200","64,200","3.97M","1.99%"
"2019년 05월 31일","65,300","65,900","66,900","64,700","3.14M","-0.91%"
"2019년 05월 30일","65,900","66,300","66,900","65,800","3.01M","-0.30%"
"2019년 05월 29일","66,100","65,600","66,700","64,900","5.91M","0.30%"
"2019년 05월 28일","65,900","67,200","68,300","65,900","11.15M","-1.49%"
"2019년 05월 27일","66,900","67,900","68,200","66,400","2.20M","-1.04%"
"2019년 05월 24일","67,600","67,300","68,600","67,000","3.30M","-0.59%"
"2019년 05월 23일","68,000","68,400","69,100","67,300","3.10M","-1.31%"
"2019년 05월 22일","68,900","71,300","71,300","68,500","3.07M","-1.99%"
"2019년 05월 21일","70,300","70,500","72,200","69,700","3.88M","-0.85%"
"2019년 05월 20일","70,900","71,800","72,800","70,700","1.97M","-0.98%"
"2019년 05월 17일","71,600","72,500","73,300","71,400","2.41M","-0.42%"
"2019년 05월 16일","71,900","74,400","75,100","71,600","3.46M","-3.49%"
"2019년 05월 15일","74,500","74,800","75,100","73,900","2.05M","-0.13%"
"2019년 05월 14일","74,600","72,200","75,100","71,600","3.69M","1.50%"
"2019년 05월 13일","73,500","73,900","75,000","72,800","2.73M","-1.21%"
"2019년 05월 10일","74,400","76,100","76,700","73,400","5.35M","-2.11%"
"2019년 05월 09일","76,000","79,600","79,700","75,200","5.51M","-5.35%"
"2019년 05월 08일","80,300","78,700","80,500","78,000","2.73M","0.50%"
"2019년 05월 07일","79,900","79,200","80,400","78,700","2.65M","-0.62%"
"2019년 05월 03일","80,400","81,100","81,300","80,300","2.35M","-0.37%"
"2019년 05월 02일","80,700","79,700","81,200","79,100","3.09M","2.15%"
"2019년 04월 30일","79,000","79,400","80,700","78,100","2.95M","-1.25%"
"2019년 04월 29일","80,000","78,700","80,100","78,200","2.94M","1.78%"
"2019년 04월 26일","78,600","78,500","79,900","77,600","4.71M","-2.00%"
"2019년 04월 25일","80,200","78,400","81,500","78,100","5.36M","2.17%"
"2019년 04월 24일","78,500","81,500","81,500","77,500","4.10M","-3.09%"
"2019년 04월 23일","81,000","81,000","81,800","80,400","1.78M","0.62%"
"2019년 04월 22일","80,500","81,500","81,800","79,900","1.89M","-1.59%"
"2019년 04월 19일","81,800","80,500","82,400","80,100","3.04M","3.28%"
"2019년 04월 18일","79,200","80,800","81,200","78,500","3.08M","-1.25%"
"2019년 04월 17일","80,200","81,000","82,300","80,000","2.85M","-0.25%"
"2019년 04월 16일","80,400","79,900","80,800","79,100","2.20M","0.88%"
"2019년 04월 15일","79,700","79,000","79,900","78,600","2.02M","2.05%"
"2019년 04월 12일","78,100","77,400","78,800","77,400","1.97M","-0.38%"
"2019년 04월 11일","78,400","79,200","79,500","78,000","2.15M","-0.25%"
"2019년 04월 10일","78,600","76,700","78,800","76,200","2.46M","1.03%"
"2019년 04월 09일","77,800","77,700","78,700","77,400","2.32M","-0.13%"
"2019년 04월 08일","77,900","78,900","79,200","77,600","2.65M","-1.39%"
"2019년 04월 05일","79,000","78,200","79,300","77,900","2.06M","0.77%"
"2019년 04월 04일","78,400","80,400","81,400","77,800","5.30M","-1.88%"
"2019년 04월 03일","79,900","76,800","79,900","76,500","4.66M","4.58%"
"2019년 04월 02일","76,400","77,900","78,000","76,100","2.62M","-0.26%"
"2019년 04월 01일","76,600","75,600","77,100","75,500","3.57M","3.23%"
"2019년 03월 29일","74,200","72,900","74,900","72,700","3.21M","2.63%"
"2019년 03월 28일","72,300","72,300","73,600","71,700","2.77M","-1.50%"
