,Unnamed: 0,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수,EPS,PER,BPS,PBR,ROA,주당배당금,배당수익률,종목수익률,Unnamed: 22,Unnamed: 23,종목명.1
1,30,30,우리은행,"10,500",100,1,"10,400","10,550","10,300","2,860,645","29,911,985,800","7,100,922,895,500",0.54,"676,278,371","1,621",6.48,"26,592",0.39,0.060958183,500,4.76,0.072522983,,,CJ대한통운
3,50,50,경방,"243,000","10,000",4.3,"236,000","245,000","227,500","5,193","1,229,285,000","666,191,061,000",0.05,"2,741,527","4,190",58,"236,250",1.03,0.01773545,500,0.21,0.296,,,KCC
5,70,70,삼양홀딩스,"108,000","4,000",3.8,"103,000","108,500","102,500","13,929","1,492,699,500","924,941,268,000",0.07,"8,564,271",327,330.28,"148,290",0.73,0.002205139,"1,500",1.39,0.202672606,,,LG상사
7,80,80,하이트진로,"21,400",-600,-2.7,"22,000","22,000","21,150","2,872,831","61,575,836,432","1,500,859,275,400",0.11,"70,133,611",295,72.54,"18,628",1.15,0.015836375,"1,000",4.67,-0.053097345,,,LS
9,100,100,유한양행,"267,000","12,000",4.7,"258,500","272,000","258,000","69,364","18,520,575,500","2,977,729,782,000",0.23,"11,152,546","8,788",30.38,"112,029",2.38,0.078443974,"1,750",0.66,0.579881657,,,NH투자증권
11,120,120,CJ대한통운,"188,000","-1,000",-0.5,"186,500","190,500","185,500","48,515","9,076,607,000","4,288,720,672,000",0.33,"22,812,344","2,510",74.9,"98,141",1.92,0.025575448,0,0,0.002666667,,,POSCO
12,140,140,하이트진로홀딩스,"15,200",650,4.5,"14,400","15,200","14,300","107,717","1,605,608,300","352,742,828,000",0.03,"23,206,765",-,-,"20,245",0.75,0,450,2.96,0.271966527,,,S&T중공업
14,150,150,두산,"114,500",-500,-0.4,"115,000","115,500","113,500","51,904","5,943,985,000","2,435,516,676,000",0.18,"21,270,888","3,129",36.59,"108,349",1.06,0.028878901,"4,000",3.49,0.128078818,,,SK네트웍스
18,210,210,대림산업,"78,300",-400,-0.5,"77,200","80,300","77,200","223,033","17,599,550,700","2,724,840,000,000",0.21,"34,800,000",-,-,"109,537",0.71,0,100,0.13,0.213953488,,,고려아연
23,230,230,일동제약,"22,300","-3,450",-13.4,"25,750","27,600","22,300","884,774","21,949,408,950","559,017,849,500",0.04,"25,068,065",489,45.6,"13,227",1.69,0.036969834,200,0.9,0.476821192,,,남양유업
24,240,240,한국타이어월드와이드,"19,650",400,2.1,"19,100","19,650","19,050","118,124","2,301,545,750","1,827,846,399,450",0.14,"93,020,173","2,005",9.8,"25,963",0.76,0.077225282,300,1.53,-0.199592668,,,넥센타이어
25,270,270,기아차,"47,650",150,0.3,"47,000","48,000","47,000","972,084","46,315,144,870","19,315,563,484,550",1.46,"405,363,347","7,393",6.45,"55,466",0.86,0.133288862,"1,000",2.1,-0.088910134,,,녹십자
34,480,480,조선내화,"117,500","-2,500",-2.1,"118,500","122,000","116,500","2,803","332,582,000","470,000,000,000",0.04,"4,000,000","12,897",9.11,"136,969",0.86,0.094159992,"4,000",3.4,42.59925788,,,동부화재
42,640,640,동아쏘시오홀딩스,"171,000","-4,000",-2.3,"174,000","177,500","171,000","27,894","4,812,216,000","773,841,861,000",0.06,"4,525,391",397,430.73,"104,036",1.64,0.003815987,"1,000",0.58,44.6,,,모토닉
44,660,660,SK하이닉스,"51,100","1,450",2.9,"49,350","51,300","49,200","6,512,595","330,761,578,700","37,200,920,851,500",2.82,"728,002,365","5,842",8.75,"24,775",2.06,0.23580222,300,0.59,6.873651772,,,부광약품
45,670,670,영풍,"1,375,000","18,000",1.3,"1,339,000","1,385,000","1,339,000","2,002","2,750,101,000","2,532,805,000,000",0.19,"1,842,040","74,468",18.46,"1,329,356",1.03,0.056018102,"7,500",0.55,15.91266913,,,빙그레
49,720,720,현대건설,"44,250",-450,-1,"44,600","45,250","44,050","768,928","34,227,783,100","4,927,492,601,250",0.37,"111,355,765","3,768",11.74,"48,844",0.91,0.077143559,500,1.13,-0.9646,,,삼성전기
52,810,810,삼성화재,"304,000","7,000",2.4,"295,000","308,000","295,000","180,800","55,019,104,500","14,401,950,448,000",1.09,"47,374,837","18,786",16.18,"188,371",1.61,0.099728727,"4,500",1.48,30.69968717,,,삼성중공업
54,830,830,삼성물산,"63,000",-600,-0.9,"63,300","63,700","61,200","3,528,025","220,710,822,000","9,841,719,132,000",0.75,"156,217,764","1,824",34.54,"81,839",0.77,0.022287662,500,0.79,1.025723473,,,삼양홀딩스
58,880,880,한화,"43,200",-50,-0.1,"42,600","43,800","41,050","233,584","10,081,275,000","3,238,217,352,000",0.25,"74,958,735",-,-,"57,774",0.75,0,500,1.16,-0.744378698,,,세아베스틸
69,1040,1040,CJ,"240,000","-8,000",-3.2,"243,000","246,500","240,000","94,159","22,829,294,000","6,985,158,480,000",0.53,"29,104,827","7,375",32.54,"108,643",2.21,0.067882882,950,0.4,47.87983707,,,오리온
76,1120,1120,LG상사,"41,800","1,000",2.4,"40,650","42,500","40,600","152,142","6,391,785,350","1,620,168,000,000",0.12,"38,760,000",-,-,"36,809",1.14,0,300,0.72,1.943661972,,,조선내화
81,1230,1230,동국제강,"5,460",100,1.9,"5,340","5,500","5,340","316,339","1,717,161,220","520,657,639,320",0.04,"95,358,542",-,-,"24,728",0.22,0,0,0,-0.813333333,,,한국쉘석유
92,1430,1430,세아베스틸,"42,250",850,2,"41,000","42,700","41,000","55,806","2,363,408,850","1,515,174,527,750",0.11,"35,862,119","3,475",12.16,"41,936",1.01,0.082864365,"1,000",2.37,16.38683128,,,현대상선
111,1680,1680,대상,"36,950","-1,700",-4.4,"38,200","38,450","36,950","366,316","13,722,413,900","1,271,507,696,250",0.1,"34,411,575","2,562",14.42,"21,042",1.76,0.121756487,300,0.81,2.004065041,,,LG유플러스
116,1740,1740,SK네트웍스,"8,260",30,0.4,"8,250","8,330","8,100","2,293,413","18,869,693,700","2,050,029,964,220",0.16,"248,187,647",127,65.04,"10,172",0.81,0.012485254,100,1.21,-0.758832117,,,S&T모티브
125,1800,1800,오리온,"1,250,000","-27,000",-2.1,"1,254,000","1,284,000","1,250,000","16,643","20,974,702,000","7,469,203,750,000",0.57,"5,975,363","31,050",40.26,"208,725",5.99,0.148760331,"6,000",0.48,101.4590164,,,기업은행
142,2240,2240,고려제강,"60,100",800,1.4,"58,600","60,400","57,400","64,013","3,761,003,500","1,081,800,000,000",0.08,"18,000,000","16,590",3.62,"92,274",0.65,0.179790624,350,0.58,12.94431555,,,베이직하우스
144,2270,2270,롯데푸드,"897,000","-21,000",-2.3,"908,000","915,000","895,000","6,109","5,518,205,000","1,228,384,092,000",0.09,"1,369,436","43,723",20.52,"607,536",1.48,0.071967752,"2,500",0.28,37.17021277,,,삼성생명
148,2350,2350,넥센타이어,"12,600",150,1.2,"12,450","12,650","12,400","189,131","2,368,612,600","1,214,840,050,200",0.09,"96,415,877","1,273",9.9,"9,017",1.4,0.141177775,75,0.6,-0.052631579,,,삼성카드
