,종목코드,종목명,시장구분,산업분류,현재가.종가.,전일대비,시가총액.원.,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,factor,1y_수익률
1,005930,삼성전자,코스피,전기전자,52000,-1500,"310,428,692,600,000",52000,"6,461",8.05,"35,342",1.47,1416,2.72,,28.049%
2,000660,SK하이닉스,코스피,전기전자,82700,-2600,"60,205,795,585,500",82700,"22,255",3.72,"64,348",1.29,1500,1.81,"quality,roe",27.975%
3,035420,NAVER,코스피,서비스업,169500,-1000,"27,935,870,452,500",169500,"4,437",38.2,"31,795",5.33,314,0.19,,44.538%
4,005380,현대차,코스피,운수장비,124500,-500,"26,601,689,281,500",124500,"5,632",22.11,"245,447",0.51,4000,3.21,,13.182%
5,207940,삼성바이오로직스,코스피,의약품,399500,500,"26,432,917,500,000",399500,"3,387",117.95,"62,805",6.36,0,0,,0.256%
6,012330,현대모비스,코스피,운수장비,256000,-1000,"24,398,513,664,000",256000,"19,944",12.84,"314,650",0.81,4000,1.56,,39.452%
7,068270,셀트리온,코스피,의약품,184500,1000,"23,678,333,878,500",184500,"2,063",89.43,"19,766",9.33,0,0,,-22.746%
8,051910,LG화학,코스피,화학,309500,-8000,"21,848,330,158,500",309500,"19,217",16.11,"218,227",1.42,6000,1.94,,-10.015%
9,055550,신한지주,코스피,금융업,44200,450,"20,959,621,745,400",44200,"6,579",6.72,"75,339",0.59,1600,3.62,,0.908%
10,017670,SK텔레콤,코스피,통신업,244500,-1000,"19,742,326,339,500",244500,"44,066",5.55,"278,291",0.88,10000,4.09,,-13.404%
11,028260,삼성물산,코스피,유통업,102500,-500,"19,443,229,407,500",102500,"10,384",9.87,"104,259",0.98,2000,1.95,,-5.936%
12,005490,POSCO,코스피,철강금속,222500,-3000,"19,399,070,787,500",222500,"20,911",10.64,"497,452",0.45,10000,4.49,,-13.422%
13,105560,KB금융,코스피,금융업,45950,1050,"19,212,225,125,150",45950,"7,721",5.95,"85,393",0.54,1920,4.18,,-9.357%
14,034730,SK,코스피,금융업,272000,-500,"19,138,000,784,000",272000,"40,310",6.75,"234,433",1.16,5000,1.84,,-1.515%
15,051900,LG생활건강,코스피,화학,1213000,-2000,"18,944,872,961,000",1213000,"40,740",29.77,"198,221",6.12,9250,0.76,quality,11.053%
16,015760,한국전력,코스피,전기가스업,28150,50,"18,071,288,767,550",28150,-,-,"108,641",0.26,0,0,,0.000%
17,000270,기아차,코스피,운수장비,43750,250,"17,734,646,431,250",43750,"2,883",15.18,"67,208",0.65,900,2.06,,65.000%
18,006400,삼성SDI,코스피,전기전자,236000,-6500,"16,228,429,080,000",236000,"10,484",22.51,"169,560",1.39,1000,0.42,,3.268%
19,018260,삼성에스디에스,코스피,서비스업,201000,-500,"15,552,937,800,000",201000,"8,137",24.7,"77,315",2.6,2000,1,,-0.248%
20,032830,삼성생명,코스피,금융업,73500,0,"14,700,000,000,000",73500,"9,268",7.93,"144,510",0.51,2650,3.61,,-21.359%
21,096770,SK이노베이션,코스피,화학,155000,-3500,"14,332,162,420,000",155000,"18,267",8.49,"193,402",0.8,8000,5.16,,-28.333%
22,033780,KT&G,코스피,기타제조,98900,0,"13,578,227,953,300",98900,"7,141",13.85,"58,847",1.68,4000,4.04,,-3.627%
23,035720,카카오,코스피,서비스업,156500,0,"13,470,591,955,000",156500,623,251.2,"61,602",2.54,127,0.08,,64.544%
24,003550,LG,코스피,금융업,73500,-400,"12,682,949,128,500",73500,"10,603",6.93,"102,340",0.72,2000,2.72,,14.441%
25,036570,엔씨소프트,코스피,서비스업,556000,-5000,"12,206,436,232,000",556000,"19,831",28.04,"107,923",5.15,6050,1.09,,24.794%
26,066570,LG전자,코스피,전기전자,70900,-1000,"11,602,630,012,600",70900,"6,882",10.3,"78,820",0.9,750,1.06,,13.397%
27,000810,삼성화재,코스피,금융업,237000,3500,"11,227,836,369,000",237000,"25,182",9.41,"244,508",0.97,11500,4.85,,-15.631%
28,086790,하나금융지주,코스피,금융업,36550,150,"10,973,847,366,100",36550,"7,360",4.97,"88,026",0.42,1900,5.2,,-11.707%
29,010950,S-Oil,코스피,화학,94700,-1400,"10,661,590,402,400",94700,"2,216",42.73,"55,480",1.71,750,0.79,,-30.498%
30,090430,아모레퍼시픽,코스피,화학,181000,-1000,"10,580,986,690,000",181000,"4,815",37.59,"64,072",2.82,1180,0.65,,-1.044%
31,316140,우리금융지주,코스피,금융업,12250,50,"8,847,779,116,750",12250,-,-,-,-,NA,NA,,-
32,009150,삼성전기,코스피,전기전자,110000,-1500,"8,216,306,560,000",110000,"8,685",12.67,"62,126",1.77,1000,0.91,,-4.721%
33,009540,한국조선해양,코스피,운수장비,116000,0,"8,209,681,456,000",116000,-,-,"167,892",0.69,0,0,,0.424%
34,010130,고려아연,코스피,철강금속,415500,-8500,"7,840,485,000,000",415500,"29,841",13.92,"331,214",1.25,11000,2.65,,3.774%
35,011170,롯데케미칼,코스피,화학,221500,-1500,"7,592,005,308,500",221500,"46,074",4.81,"371,541",0.6,10500,4.74,,-21.352%
36,251270,넷마블,코스피,서비스업,87800,0,"7,528,252,257,600",87800,"2,230",39.37,"51,303",1.71,0,0,,-17.972%
37,091990,셀트리온헬스케어,코스닥,유통,51500,300,"7,412,294,472,000",51500,80,643.75,"11,419",4.51,0,0,,-28.371%
38,030200,KT,코스피,통신업,27350,-50,"7,141,407,948,800",27350,"2,809",9.74,"50,563",0.54,1100,4.02,,-8.040%
39,024110,기업은행,코스피,금융업,12100,0,"6,983,599,445,900",12100,"2,531",4.78,"31,891",0.38,690,5.7,,-17.586%
40,021240,웅진코웨이,코스피,서비스업,92000,800,"6,789,564,948,000",92000,"4,854",18.95,"14,744",6.24,3600,3.91,"low_vol,qual",14.507%
41,035250,강원랜드,코스피,서비스업,30750,-700,"6,578,670,375,000",30750,"1,467",20.96,"16,765",1.83,900,2.93,,2.048%
42,002790,아모레G,코스피,화학,78500,-100,"6,472,967,130,000",78500,"1,704",46.07,"35,001",2.24,310,0.39,,7.304%
43,032640,LG유플러스,코스피,통신업,13950,-50,"6,090,728,485,950",13950,"1,103",12.65,"15,696",0.89,400,2.87,,-16.814%
44,018880,한온시스템,코스피,기계,10850,-150,"5,791,730,000,000",10850,520,20.87,"3,816",2.84,320,2.95,,-0.913%
45,086280,현대글로비스,코스피,운수창고업,152000,500,"5,700,000,000,000",152000,"11,663",13.03,"113,605",1.34,3300,2.17,,43.128%
46,028300,에이치엘비,코스닥,운송장비·부품,136500,200,"5,466,566,742,000",136500,678,201.33,"4,438",30.76,0,0,,36.269%
47,267250,현대중공업지주,코스피,화학,335000,-5000,"5,456,016,695,000",335000,"18,371",18.24,"474,469",0.71,18500,5.52,,-6.925%
48,034220,LG디스플레이,코스피,전기전자,14150,-350,"5,063,092,155,000",14150,-,-,"39,068",0.36,0,0,,-17.665%
49,000720,현대건설,코스피,건설업,43300,-1100,"4,821,704,624,500",43300,"3,424",12.65,"56,293",0.77,500,1.15,,-12.309%
50,078930,GS,코스피,금융업,49650,-450,"4,613,248,517,700",49650,"9,539",5.2,"89,656",0.55,1900,3.83,,-1.988%
51,161390,한국타이어앤테크놀로지,코스피,화학,34900,250,"4,323,239,908,100",34900,"4,216",8.28,"54,616",0.64,450,1.29,,-22.060%
52,271560,오리온,코스피,음식료품,109000,500,"4,309,438,388,000",109000,"3,538",30.81,"35,553",3.07,600,0.55,,4.390%
53,029780,삼성카드,코스피,금융업,37000,-50,"4,286,778,967,000",37000,"3,178",11.64,"58,444",0.63,1600,4.32,,6.638%
54,010140,삼성중공업,코스피,운수장비,6780,-90,"4,271,400,000,000",6780,-,-,"10,694",0.63,0,0,,-1.583%
55,004020,현대제철,코스피,철강금속,31350,-600,"4,183,525,359,750",31350,"3,037",10.32,"125,115",0.25,750,2.39,,-30.131%
56,071050,한국금융지주,코스피,금융업,70800,-600,"3,945,400,233,600",70800,"9,062",7.81,"70,093",1.01,1800,2.54,,16.774%
57,128940,한미약품,코스피,의약품,335000,5500,"3,890,081,640,000",335000,"2,160",155.09,"60,603",5.53,500,0.15,,-19.015%
58,004990,롯데지주,코스피,금융업,36400,-300,"3,818,696,226,800",36400,"2,713",13.42,"67,169",0.54,800,2.2,,-29.622%
59,005830,DB손해보험,코스피,금융업,53700,-1200,"3,801,960,000,000",53700,"8,413",6.38,"72,003",0.75,2000,3.72,,-24.484%
60,097950,CJ제일제당,코스피,음식료품,248000,-1500,"3,733,438,128,000",248000,"55,416",4.48,"291,963",0.85,3500,1.41,,-26.440%
61,047810,한국항공우주,코스피,운수장비,37900,300,"3,694,306,555,300",37900,587,64.57,"10,356",3.66,200,0.53,,23.052%
62,028050,삼성엔지니어링,코스피,서비스업,18800,50,"3,684,800,000,000",18800,350,53.71,"5,383",3.49,0,0,,12.059%
